CustomerID,Customer,Recency,Frequency,Monetary,RecencyBin,FrequencyBin,MonetaryBin,RFM,Segment
12346,1,325,1,77183,1,1,5,115,Cannot Lose
12747,1,2,10,3837,5,5,5,555,Champions
12748,1,0,196,31854,5,5,5,555,Champions
12749,1,3,5,4090,5,4,5,545,Champions
12820,1,3,4,942,5,4,4,544,Champions
12821,1,214,1,92,1,1,1,111,Lost
12822,1,70,2,948,2,2,4,224,At Risk
12823,1,74,5,1759,2,4,4,244,At Risk
12824,1,59,1,397,3,1,2,312,About To Sleep
12826,1,2,7,1474,5,5,4,554,Champions
12827,1,5,3,430,5,3,2,532,Potential Loyalist
12828,1,2,6,1018,5,5,4,554,Champions
12829,1,336,2,293,1,2,2,122,Hibernating
12830,1,37,6,6814,3,5,5,355,Loyal Customers
12831,1,262,1,215,1,1,1,111,Lost
12832,1,32,2,383,3,2,2,322,Hibernating
12833,1,145,1,417,2,1,2,212,Hibernating
12834,1,282,1,312,1,1,2,112,Lost
12836,1,59,4,2612,3,4,5,345,Loyal Customers
12837,1,173,1,134,1,1,1,111,Lost
12838,1,33,1,292,3,1,2,312,About To Sleep
12839,1,2,13,5188,5,5,5,555,Champions
12840,1,143,4,2726,2,4,5,245,At Risk
12841,1,4,23,3516,5,5,5,555,Champions
12842,1,70,2,1118,2,2,4,224,At Risk
12843,1,65,8,1702,3,5,4,354,Loyal Customers
12844,1,29,2,325,4,2,2,422,New Customer
12845,1,267,4,354,1,4,2,142,At Risk
12847,1,22,1,871,4,1,3,413,Promising
12849,1,31,2,1050,4,2,4,424,Promising
12851,1,96,1,135,2,1,1,211,Hibernating
12852,1,294,1,311,1,1,2,112,Lost
12853,1,134,6,1957,2,5,5,255,At Risk
12854,1,78,3,1324,2,3,4,234,At Risk
12856,1,7,6,2179,5,5,5,555,Champions
12857,1,210,2,1106,1,2,4,124,At Risk
12863,1,52,1,521,3,1,3,313,Promising
12864,1,138,1,147,2,1,1,211,Hibernating
12867,1,26,7,4036,4,5,5,455,Champions
12868,1,185,5,1403,1,4,4,144,Cannot Lose
12871,1,84,2,380,2,2,2,222,Hibernating
12872,1,326,2,599,1,2,3,123,Hibernating
12873,1,282,1,374,1,1,2,112,Lost
12875,1,143,2,343,2,2,2,222,Hibernating
12877,1,3,12,1535,5,5,4,554,Champions
12878,1,236,2,854,1,2,3,123,Hibernating
12879,1,44,3,573,3,3,3,333,Potential Loyalist
12881,1,275,1,298,1,1,2,112,Lost
12882,1,9,2,1463,5,2,4,524,Promising
12883,1,24,4,703,4,4,3,443,Need Attention
12884,1,88,1,309,2,1,2,212,Hibernating
12885,1,63,3,1175,3,3,4,334,Need Attention
12886,1,67,2,1378,3,2,4,324,Need Attention
12888,1,214,2,354,1,2,2,122,Hibernating
12890,1,24,1,380,4,1,2,412,New Customer
12891,1,185,3,331,1,3,2,132,Hibernating
12893,1,30,1,188,4,1,1,411,New Customer
12895,1,42,2,372,3,2,2,322,Hibernating
12897,1,204,2,216,1,2,1,121,Lost
12901,1,8,28,17654,5,5,5,555,Champions
12902,1,264,1,138,1,1,1,111,Lost
12904,1,18,2,509,4,2,3,423,Potential Loyalist
12906,1,11,5,2919,5,4,5,545,Champions
12908,1,176,2,750,1,2,3,123,Hibernating
12909,1,39,5,2178,3,4,5,345,Loyal Customers
12910,1,23,8,3075,4,5,5,455,Champions
12912,1,2,5,1662,5,4,4,544,Champions
12913,1,4,4,2066,5,4,5,545,Champions
12915,1,148,1,164,2,1,1,211,Hibernating
12916,1,138,4,3006,2,4,5,245,At Risk
12917,1,128,1,594,2,1,3,213,About To Sleep
12919,1,8,6,1335,5,5,4,554,Champions
12920,1,17,1,164,4,1,1,411,New Customer
12921,1,9,35,15899,5,5,5,555,Champions
12922,1,161,1,405,2,1,2,212,Hibernating
12923,1,64,1,176,3,1,1,311,New Customer
12924,1,88,4,933,2,4,4,244,At Risk
12925,1,4,2,694,5,2,3,523,Promising
12928,1,35,5,2062,3,4,5,345,Loyal Customers
12929,1,311,1,117,1,1,1,111,Lost
